_step,critic/scores/stem_web/std,critic/scores/stem_web/mean,critic/rewards/max,response_length/stem_web/max,response_length/stem_web/clip_ratio,critic/scores/stem_web/max,response_length/stem_web/mean,critic/scores/stem_web/min,response_length/mean,critic/rewards/mean,critic/rewards/min,response_length/min,response_length/stem_web/min,response_length/clip_ratio,response_length/max,run_id,run_created_at,run_name
51,0.49762848019599915,0.4510498046875,1,4732,0.0,1,1078.4556884765625,0,1078.4556884765625,0.4510498046875,0,150,150,0.0,4732,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
52,0.4985212981700897,0.461181640625,1,5358,0.0,1,1096.639404296875,0,1096.639404296875,0.461181640625,0,101,101,0.0,5358,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
53,0.49911314249038696,0.4697265625,1,8192,0.000244140625,1,1067.9349365234375,0,1067.9349365234375,0.4697265625,0,14,14,0.000244140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
54,0.4993915855884552,0.4747314453125,1,4598,0.0,1,1074.6380615234375,0,1074.6380615234375,0.4747314453125,0,31,31,0.0,4598,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
55,0.4987582862377167,0.46435546875,1,4487,0.0,1,1120.1890869140625,0,1120.1890869140625,0.46435546875,0,52,52,0.0,4487,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
56,0.5000066757202148,0.4951171875,1,4376,0.0,1,1064.82373046875,0,1064.82373046875,0.4951171875,0,62,62,0.0,4376,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
57,0.4990065395832062,0.468017578125,1,4457,0.0,1,1099.2313232421875,0,1099.2313232421875,0.468017578125,0,158,158,0.0,4457,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
58,0.4999253749847412,0.51025390625,1,5239,0.0,1,1077.4984130859375,0,1077.4984130859375,0.51025390625,0,63,63,0.0,5239,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
59,0.4999854266643524,0.5067138671875,1,8192,0.0001220703125,1,1072.5682373046875,0,1072.5682373046875,0.5067138671875,0,94,94,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
60,0.5000302791595459,0.50048828125,1,4898,0.0,1,1072.705322265625,0,1072.705322265625,0.50048828125,0,45,45,0.0,4898,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
