_step,response_length/simulation__codeio/mean,critic/rewards/max,response_length/mean,critic/rewards/mean,response_length/simulation__codeio/clip_ratio,critic/scores/simulation__codeio/mean,response_length/simulation__codeio/min,response_length/simulation__codeio/max,critic/rewards/min,response_length/min,critic/scores/simulation__codeio/min,response_length/clip_ratio,critic/scores/simulation__codeio/std,response_length/max,critic/scores/simulation__codeio/max,run_id,run_created_at,run_name
47,494.5972900390625,1,494.5972900390625,0.499267578125,0.000244140625,0.499267578125,5,8192,0,5,0,0.000244140625,0.500029981136322,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
48,498.078369140625,1,498.078369140625,0.5157470703125,0.0003662109375,0.5157470703125,43,8192,0,43,0,0.0003662109375,0.4997824728488922,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
49,481.739501953125,1,481.739501953125,0.55029296875,0.00048828125,0.55029296875,41,8192,0,41,0,0.00048828125,0.49749454855918884,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
50,505.2144775390625,1,505.2144775390625,0.55078125,0.0001220703125,0.55078125,60,8192,0,60,0,0.0001220703125,0.4974449574947357,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
51,500.974853515625,1,500.974853515625,0.55615234375,0.0006103515625,0.55615234375,42,8192,0,42,0,0.0006103515625,0.49686723947525024,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
52,508.3602294921875,1,508.3602294921875,0.531005859375,0.00048828125,0.531005859375,63,8192,0,63,0,0.00048828125,0.49906817078590393,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
53,513.4808349609375,1,513.4808349609375,0.512451171875,0.0006103515625,0.512451171875,50,8192,0,50,0,0.0006103515625,0.4998754560947418,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
54,530.173583984375,1,530.173583984375,0.563720703125,0.0010986328125,0.563720703125,20,8192,0,20,0,0.0010986328125,0.4959533214569092,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
55,523.9285888671875,1,523.9285888671875,0.58203125,0.00048828125,0.58203125,49,8192,0,49,0,0.00048828125,0.493255078792572,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
56,522.5096435546875,1,522.5096435546875,0.5616455078125,0.0006103515625,0.5616455078125,21,8192,0,21,0,0.0006103515625,0.4962155520915985,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
57,541.6566162109375,1,541.6566162109375,0.552490234375,0.00146484375,0.552490234375,49,8192,0,49,0,0.00146484375,0.497267484664917,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
58,513.0401611328125,1,513.0401611328125,0.57666015625,0.0006103515625,0.57666015625,76,8192,0,76,0,0.0006103515625,0.49411842226982117,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
59,536.437744140625,1,536.437744140625,0.5616455078125,0.001220703125,0.5616455078125,72,8192,0,72,0,0.001220703125,0.4962155520915985,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
60,545.559326171875,1,545.559326171875,0.556884765625,0.0010986328125,0.556884765625,66,8192,0,66,0,0.0010986328125,0.49678391218185425,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
